user,auth_time,auth_ip,auth_target,auth_score,persistence_time,persistence_host,persistence_mechanism,persistence_name,persistence_score,minutes_between
alice,2026-08-28 02:14:20,10.10.20.15,APP01,100,2026-08-28 02:14:51,WS07,Scheduled Task,WindowsSecurityUpdate,100,0.52
alice,2026-08-28 02:14:00,10.10.20.15,SQL01,100,2026-08-28 02:14:51,WS07,Scheduled Task,WindowsSecurityUpdate,100,0.85
alice,2026-08-28 02:13:40,10.10.20.15,WEB01,100,2026-08-28 02:14:51,WS07,Scheduled Task,WindowsSecurityUpdate,100,1.18
alice,2026-08-28 02:13:20,10.10.20.15,FILE01,100,2026-08-28 02:14:51,WS07,Scheduled Task,WindowsSecurityUpdate,100,1.52
alice,2026-08-28 02:14:20,10.10.20.15,APP01,100,2026-08-28 02:16:02,WS07,Registry Run Key,WindowsUpdate,80,1.7
alice,2026-08-28 02:13:00,10.10.20.15,DC01,100,2026-08-28 02:14:51,WS07,Scheduled Task,WindowsSecurityUpdate,100,1.85
alice,2026-08-28 02:14:00,10.10.20.15,SQL01,100,2026-08-28 02:16:02,WS07,Registry Run Key,WindowsUpdate,80,2.03
alice,2026-08-28 02:13:40,10.10.20.15,WEB01,100,2026-08-28 02:16:02,WS07,Registry Run Key,WindowsUpdate,80,2.37
alice,2026-08-28 02:13:20,10.10.20.15,FILE01,100,2026-08-28 02:16:02,WS07,Registry Run Key,WindowsUpdate,80,2.7
alice,2026-08-28 02:13:00,10.10.20.15,DC01,100,2026-08-28 02:16:02,WS07,Registry Run Key,WindowsUpdate,80,3.03
alice,2026-08-28 02:14:20,10.10.20.15,APP01,100,2026-08-28 02:17:29,WS07,Service,WindowsTelemetry,75,3.15
alice,2026-08-28 02:14:00,10.10.20.15,SQL01,100,2026-08-28 02:17:29,WS07,Service,WindowsTelemetry,75,3.48
alice,2026-08-28 02:13:40,10.10.20.15,WEB01,100,2026-08-28 02:17:29,WS07,Service,WindowsTelemetry,75,3.82
alice,2026-08-28 02:11:00,10.10.20.15,DC01,80,2026-08-28 02:14:51,WS07,Scheduled Task,WindowsSecurityUpdate,100,3.85
alice,2026-08-28 02:11:00,10.10.20.15,DC01,80,2026-08-28 02:14:51,WS07,Scheduled Task,WindowsSecurityUpdate,100,3.85
alice,2026-08-28 02:11:00,10.10.20.15,DC01,80,2026-08-28 02:14:51,WS07,Scheduled Task,WindowsSecurityUpdate,100,3.85
alice,2026-08-28 02:13:20,10.10.20.15,FILE01,100,2026-08-28 02:17:29,WS07,Service,WindowsTelemetry,75,4.15
alice,2026-08-28 02:13:00,10.10.20.15,DC01,100,2026-08-28 02:17:29,WS07,Service,WindowsTelemetry,75,4.48
alice,2026-08-28 02:10:00,10.10.20.15,APP01,80,2026-08-28 02:14:51,WS07,Scheduled Task,WindowsSecurityUpdate,100,4.85
alice,2026-08-28 02:11:00,10.10.20.15,DC01,80,2026-08-28 02:16:02,WS07,Registry Run Key,WindowsUpdate,80,5.03
alice,2026-08-28 02:11:00,10.10.20.15,DC01,80,2026-08-28 02:16:02,WS07,Registry Run Key,WindowsUpdate,80,5.03
alice,2026-08-28 02:11:00,10.10.20.15,DC01,80,2026-08-28 02:16:02,WS07,Registry Run Key,WindowsUpdate,80,5.03
alice,2026-08-28 02:14:20,10.10.20.15,APP01,100,2026-08-28 02:19:44,WS07,Scheduled Task,ChromeUpdate,75,5.4
alice,2026-08-28 02:14:00,10.10.20.15,SQL01,100,2026-08-28 02:19:44,WS07,Scheduled Task,ChromeUpdate,75,5.73
alice,2026-08-28 02:09:00,10.10.20.15,SQL01,100,2026-08-28 02:14:51,WS07,Scheduled Task,WindowsSecurityUpdate,100,5.85
alice,2026-08-28 02:10:00,10.10.20.15,APP01,80,2026-08-28 02:16:02,WS07,Registry Run Key,WindowsUpdate,80,6.03
alice,2026-08-28 02:13:40,10.10.20.15,WEB01,100,2026-08-28 02:19:44,WS07,Scheduled Task,ChromeUpdate,75,6.07
alice,2026-08-28 02:13:20,10.10.20.15,FILE01,100,2026-08-28 02:19:44,WS07,Scheduled Task,ChromeUpdate,75,6.4
alice,2026-08-28 02:11:00,10.10.20.15,DC01,80,2026-08-28 02:17:29,WS07,Service,WindowsTelemetry,75,6.48
alice,2026-08-28 02:11:00,10.10.20.15,DC01,80,2026-08-28 02:17:29,WS07,Service,WindowsTelemetry,75,6.48
alice,2026-08-28 02:11:00,10.10.20.15,DC01,80,2026-08-28 02:17:29,WS07,Service,WindowsTelemetry,75,6.48
alice,2026-08-28 02:13:00,10.10.20.15,DC01,100,2026-08-28 02:19:44,WS07,Scheduled Task,ChromeUpdate,75,6.73
alice,2026-08-28 02:08:00,10.10.20.15,FILE01,100,2026-08-28 02:14:51,WS07,Scheduled Task,WindowsSecurityUpdate,100,6.85
alice,2026-08-28 02:09:00,10.10.20.15,SQL01,100,2026-08-28 02:16:02,WS07,Registry Run Key,WindowsUpdate,80,7.03
alice,2026-08-28 02:10:00,10.10.20.15,APP01,80,2026-08-28 02:17:29,WS07,Service,WindowsTelemetry,75,7.48
alice,2026-08-28 02:07:00,10.10.20.15,FILE01,100,2026-08-28 02:14:51,WS07,Scheduled Task,WindowsSecurityUpdate,100,7.85
alice,2026-08-28 02:07:00,10.10.20.15,WEB01,100,2026-08-28 02:14:51,WS07,Scheduled Task,WindowsSecurityUpdate,100,7.85
alice,2026-08-28 02:07:00,10.10.20.15,APP01,100,2026-08-28 02:14:51,WS07,Scheduled Task,WindowsSecurityUpdate,100,7.85
alice,2026-08-28 02:07:00,10.10.20.15,WEB01,100,2026-08-28 02:14:51,WS07,Scheduled Task,WindowsSecurityUpdate,100,7.85
alice,2026-08-28 02:08:00,10.10.20.15,FILE01,100,2026-08-28 02:16:02,WS07,Registry Run Key,WindowsUpdate,80,8.03
alice,2026-08-28 02:09:00,10.10.20.15,SQL01,100,2026-08-28 02:17:29,WS07,Service,WindowsTelemetry,75,8.48
alice,2026-08-28 02:11:00,10.10.20.15,DC01,80,2026-08-28 02:19:44,WS07,Scheduled Task,ChromeUpdate,75,8.73
alice,2026-08-28 02:11:00,10.10.20.15,DC01,80,2026-08-28 02:19:44,WS07,Scheduled Task,ChromeUpdate,75,8.73
alice,2026-08-28 02:11:00,10.10.20.15,DC01,80,2026-08-28 02:19:44,WS07,Scheduled Task,ChromeUpdate,75,8.73
alice,2026-08-28 02:07:00,10.10.20.15,APP01,100,2026-08-28 02:16:02,WS07,Registry Run Key,WindowsUpdate,80,9.03
alice,2026-08-28 02:07:00,10.10.20.15,FILE01,100,2026-08-28 02:16:02,WS07,Registry Run Key,WindowsUpdate,80,9.03
alice,2026-08-28 02:07:00,10.10.20.15,WEB01,100,2026-08-28 02:16:02,WS07,Registry Run Key,WindowsUpdate,80,9.03
alice,2026-08-28 02:07:00,10.10.20.15,WEB01,100,2026-08-28 02:16:02,WS07,Registry Run Key,WindowsUpdate,80,9.03
alice,2026-08-28 02:08:00,10.10.20.15,FILE01,100,2026-08-28 02:17:29,WS07,Service,WindowsTelemetry,75,9.48
alice,2026-08-28 02:10:00,10.10.20.15,APP01,80,2026-08-28 02:19:44,WS07,Scheduled Task,ChromeUpdate,75,9.73
alice,2026-08-28 02:07:00,10.10.20.15,WEB01,100,2026-08-28 02:17:29,WS07,Service,WindowsTelemetry,75,10.48
alice,2026-08-28 02:07:00,10.10.20.15,APP01,100,2026-08-28 02:17:29,WS07,Service,WindowsTelemetry,75,10.48
alice,2026-08-28 02:07:00,10.10.20.15,WEB01,100,2026-08-28 02:17:29,WS07,Service,WindowsTelemetry,75,10.48
alice,2026-08-28 02:07:00,10.10.20.15,FILE01,100,2026-08-28 02:17:29,WS07,Service,WindowsTelemetry,75,10.48
alice,2026-08-28 02:09:00,10.10.20.15,SQL01,100,2026-08-28 02:19:44,WS07,Scheduled Task,ChromeUpdate,75,10.73
alice,2026-08-28 02:04:00,10.10.20.15,APP01,80,2026-08-28 02:14:51,WS07,Scheduled Task,WindowsSecurityUpdate,100,10.85
alice,2026-08-28 02:04:00,10.10.20.15,FILE01,80,2026-08-28 02:14:51,WS07,Scheduled Task,WindowsSecurityUpdate,100,10.85
alice,2026-08-28 02:04:00,10.10.20.15,APP01,80,2026-08-28 02:14:51,WS07,Scheduled Task,WindowsSecurityUpdate,100,10.85
alice,2026-08-28 02:08:00,10.10.20.15,FILE01,100,2026-08-28 02:19:44,WS07,Scheduled Task,ChromeUpdate,75,11.73
alice,2026-08-28 02:03:00,10.10.20.15,SQL01,80,2026-08-28 02:14:51,WS07,Scheduled Task,WindowsSecurityUpdate,100,11.85
alice,2026-08-28 02:03:00,10.10.20.15,FILE01,80,2026-08-28 02:14:51,WS07,Scheduled Task,WindowsSecurityUpdate,100,11.85
alice,2026-08-28 02:04:00,10.10.20.15,FILE01,80,2026-08-28 02:16:02,WS07,Registry Run Key,WindowsUpdate,80,12.03
alice,2026-08-28 02:04:00,10.10.20.15,APP01,80,2026-08-28 02:16:02,WS07,Registry Run Key,WindowsUpdate,80,12.03
alice,2026-08-28 02:04:00,10.10.20.15,APP01,80,2026-08-28 02:16:02,WS07,Registry Run Key,WindowsUpdate,80,12.03
alice,2026-08-28 02:07:00,10.10.20.15,WEB01,100,2026-08-28 02:19:44,WS07,Scheduled Task,ChromeUpdate,75,12.73
alice,2026-08-28 02:07:00,10.10.20.15,APP01,100,2026-08-28 02:19:44,WS07,Scheduled Task,ChromeUpdate,75,12.73
alice,2026-08-28 02:07:00,10.10.20.15,FILE01,100,2026-08-28 02:19:44,WS07,Scheduled Task,ChromeUpdate,75,12.73
alice,2026-08-28 02:07:00,10.10.20.15,WEB01,100,2026-08-28 02:19:44,WS07,Scheduled Task,ChromeUpdate,75,12.73
alice,2026-08-28 02:03:00,10.10.20.15,SQL01,80,2026-08-28 02:16:02,WS07,Registry Run Key,WindowsUpdate,80,13.03
alice,2026-08-28 02:03:00,10.10.20.15,FILE01,80,2026-08-28 02:16:02,WS07,Registry Run Key,WindowsUpdate,80,13.03
alice,2026-08-28 02:04:00,10.10.20.15,FILE01,80,2026-08-28 02:17:29,WS07,Service,WindowsTelemetry,75,13.48
alice,2026-08-28 02:04:00,10.10.20.15,APP01,80,2026-08-28 02:17:29,WS07,Service,WindowsTelemetry,75,13.48
alice,2026-08-28 02:04:00,10.10.20.15,APP01,80,2026-08-28 02:17:29,WS07,Service,WindowsTelemetry,75,13.48
alice,2026-08-28 02:03:00,10.10.20.15,SQL01,80,2026-08-28 02:17:29,WS07,Service,WindowsTelemetry,75,14.48
alice,2026-08-28 02:03:00,10.10.20.15,FILE01,80,2026-08-28 02:17:29,WS07,Service,WindowsTelemetry,75,14.48
alice,2026-08-28 02:04:00,10.10.20.15,FILE01,80,2026-08-28 02:19:44,WS07,Scheduled Task,ChromeUpdate,75,15.73
alice,2026-08-28 02:04:00,10.10.20.15,APP01,80,2026-08-28 02:19:44,WS07,Scheduled Task,ChromeUpdate,75,15.73
alice,2026-08-28 02:04:00,10.10.20.15,APP01,80,2026-08-28 02:19:44,WS07,Scheduled Task,ChromeUpdate,75,15.73
alice,2026-08-28 02:03:00,10.10.20.15,SQL01,80,2026-08-28 02:19:44,WS07,Scheduled Task,ChromeUpdate,75,16.73
alice,2026-08-28 02:03:00,10.10.20.15,FILE01,80,2026-08-28 02:19:44,WS07,Scheduled Task,ChromeUpdate,75,16.73
